date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:16	68838/68838	---M--	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202023%2022:14:16%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html	C:/Users/zache_b/Downloads/1v1new/turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html	(from )
15:14:16	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Dec%202023%2022:14:16%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/robots.txt		(from )
15:14:16	141/141	---M--	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202023%2022:14:17%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/get.html	C:/Users/zache_b/Downloads/1v1new/turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/get.html	(from https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html)
15:14:17	3983/3983	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Dec%202023%2022:14:17%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4%404a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/style.css	C:/Users/zache_b/Downloads/1v1new/turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4@4a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/style.css	(from https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html)
15:14:17	12066/12066	---M--	200	added ('OK')	text/javascript	date:Sun,%2003%20Dec%202023%2022:14:17%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4%404a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-app.js	C:/Users/zache_b/Downloads/1v1new/turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4@4a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-app.js	(from https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html)
15:14:18	21273/21273	---M--	200	added ('OK')	text/javascript	date:Sun,%2003%20Dec%202023%2022:14:18%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4%404a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-analytics.js	C:/Users/zache_b/Downloads/1v1new/turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4@4a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-analytics.js	(from https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html)
15:14:18	163454/163454	---M--	200	added ('OK')	text/javascript	date:Sun,%2003%20Dec%202023%2022:14:18%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4%404a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-auth.js	C:/Users/zache_b/Downloads/1v1new/turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4@4a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-auth.js	(from https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html)
15:14:18	372014/372014	---M--	200	added ('OK')	text/javascript	date:Sun,%2003%20Dec%202023%2022:14:19%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4%404a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-firestore.js	C:/Users/zache_b/Downloads/1v1new/turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4@4a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-firestore.js	(from https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html)
15:14:19	34580/34580	---M--	200	added ('OK')	text/javascript	date:Sun,%2003%20Dec%202023%2022:14:19%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4%404a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-remote-config.js	C:/Users/zache_b/Downloads/1v1new/turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4@4a19c5dcf5d4f1ccc368b030b9bf3e669a5b8bd2/firebase-remote-config.js	(from https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html)
15:14:19	4007/4007	---M--	200	added ('OK')	text/javascript	date:Sun,%2003%20Dec%202023%2022:14:19%20GMT	https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4%4094bc3be7dc697a43004f66ffae2a0205d74b941d/11/dependencyLoader.js	C:/Users/zache_b/Downloads/1v1new/turbulentlikablenonagon.loltmgjt.repl.co/gyat/cdn.jsdelivr.net/gh/ko1ov/jd83hf02ld65la32mdl4@94bc3be7dc697a43004f66ffae2a0205d74b941d/11/dependencyLoader.js	(from https://turbulentlikablenonagon.loltmgjt.repl.co/gyat/images-opensocial.googleusercontent.com/gadgets/ifrc7df.html)
